source_id,name,type,url,coverage,status,notes
S01,Timeline of AI safety (issarice),structured_timeline,https://timelines.issarice.com/wiki/Timeline_of_AI_safety,2000-2023 events classified by type,partially_mined,"103k chars; has year-summary table + full event table with event-type column. MINE FULLY next."
S02,AI Impacts - Changes in funding (Farquhar 2017),funding_analysis,https://aiimpacts.org/changes-in-funding-in-the-ai-safety-field/,2014-2017 field composition + $ by year,mined,"Concrete $ per year 2014-2017, org-level breakdown"
S03,Larks Annual AI Alignment Literature Review,annual_review,https://www.lesswrong.com/users/larks,2016-2023 orgs+budgets+focus,queued,"6 annual reviews; primary org/funding spine. Fetch each year."
S04,Open Philanthropy grants DB,grants_db,https://www.openphilanthropy.org/grants/,2015-present AI grants,blocked_waf,"Program renamed Navigating Transformative AI (rebrand -> Coefficient Giving, Nov 2025). Site WAF returns 403 to all non-browser/datacenter requests -> NOT locally scriptable; recent totals taken as sourced rows (coefficientgiving.org + EA Forum analysis). EA Forum spreadsheet w/107 grants exists."
S05,TAI Safety Bibliographic Database,biblio_db,https://www.alignmentforum.org/posts/4DegbDJJiMX2b3EKm/tai-safety-bibliographic-database,publications,queued,"Structured publication list"
S06,Alignment Forum / LW GraphQL,forum_api,https://www.lesswrong.com/graphql,posts+karma+tags by date,queued,"Discourse time-series per direction-tag"
S07,LTFF / EA Funds payout reports,grants_db,https://funds.effectivealtruism.org/funds/far-future,payouts w/ rationale 2017-2024,mined,"collect_ltff.py parses __NEXT_DATA__ JSON -> data/ltff_payouts.csv (14 reports, latest May2023-Mar2024). Totals are ALL-cause LTFF, not AI-only (kept separate from AI-filtered LTFF rows)."
S08,FLI grant rounds 2015 & 2018,grants_db,https://futureoflife.org/grant-program/ai-safety-research/,grantee lists,queued,
S09,Survival and Flourishing Fund,grants_db,https://survivalandflourishing.fund/,annual S-process rounds,queued,
S10,FTX Future Fund (Wayback),grants_db,https://web.archive.org/web/2022*/https://ftxfuturefund.org/,2022 regrants pre-collapse,queued,"Site dead - Wayback only"
S11,ProPublica Nonprofit Explorer,tax_filings,https://projects.propublica.org/nonprofits/,990s MIRI/CAIS/etc budgets,queued,
S12,Semantic Scholar / OpenAlex API,citation_api,https://api.semanticscholar.org/,citations+affiliations by year,queued,"Publication volume curves per direction"
S13,Wayback CDX API,archive,http://web.archive.org/cdx/search/cdx,org page snapshots,queued,"Per-actor focus-wording over time; catch pivots + dead programs"
S14,donations.vipulnaik.com,grants_db,https://donations.vipulnaik.com/,structured grants w/ dates+amounts+cause,queued,"OpenPhil/SFF/LTFF/FTX filterable by AI safety - systematic $ spine"
S15,longtermwiki.com,org_wiki,https://www.longtermwiki.com/,orgs + funding programs,partially_mined,"Founding dates, structured org pages"
S16,Survival and Flourishing Fund,grants_db,https://survivalandflourishing.fund/,annual totals 2019-2025,mined_annual,"collect_sff.py parses home-page year->$ table -> data/sff_annual_totals.csv (2019-2025; 2024=$41M, 2025=$34.92M). SFF-2026 announced ($20-40M est) but not yet distributed. Per-grantee detail still queued."
S19,AI Safety Field Growth Analysis 2025 (EA Forum),field_analysis,https://forum.effectivealtruism.org/posts/7YDyziQxkWxbGmF3u/ai-safety-field-growth-analysis-2025,org founding/closure + FTEs to 2025,mined,"Systematic spreadsheet of ~70 technical + ~45 non-technical orgs w/ founding & closure years -> spine for 2024-2025 org-founding events (confidence med)."
S20,International AI Safety Report,gov_report,https://internationalaisafetyreport.org/,interim May2024 / full Jan2025,mined,"Bengio-chaired 30-country panel; IPCC-style consensus doc ahead of Paris AI Action Summit (Feb 2025)."
S21,Coefficient Giving (ex-Open Philanthropy),funder_site,https://coefficientgiving.org/,rebrand Nov 2025 + AI program,mined,"Rebrand announced 18 Nov 2025; 13 multi-donor funds; Navigating Transformative AI fund; $40M Technical AI Safety RFP (2025); ~$50M AI safety 2024 / ~$46M 2023 (org-stated)."
S17,Transformer Circuits Thread,research_hub,https://transformer-circuits.pub/,interp papers 2021+,partially_mined,"circuits/superposition/SAE milestones"
S18,AI Safety funding overview (LW),funding_analysis,https://www.lesswrong.com/posts/WGpFFJo2uFe5ssgEb/an-overview-of-the-ai-safety-funding-situation,field $ by year,queued,"Aggregate field spend estimates"
S22,Shallow Review of Technical AI Safety 2024/2025 (LW),annual_review,https://www.lesswrong.com/posts/fAW6RXLKTLHC3WXkS/shallow-review-of-technical-ai-safety-2024,2024 & 2025 agendas/papers/orgs,mined,"Two annual reviews (2024 127kB, 2025 172kB); source for research milestones (deliberative alignment, in-context scheming, sabotage evals, Gemma Scope, RSP/FSF, agentic misalignment) with arXiv/lab links; lists for-profit alignment orgs (Leap, AE Studio)."
S23,gov.uk AI Seoul Summit 2024,gov,https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024,Frontier AI Safety Commitments + Seoul Ministerial,mined,"Primary gov.uk pages: 16-company Frontier AI Safety Commitments + 27-nation Seoul Ministerial Statement (May 2024)."
S24,EU AI Act (European Commission),gov,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,AI Act in force Aug 2024 + GPAI Code 2025,mined,"AI Act entered into force 1 Aug 2024; GPAI Code of Practice Jul 2025; GPAI obligations from Aug 2025."
S25,California legislature (SB 1047 / SB 53),gov,https://leginfo.legislature.ca.gov/,SB1047 veto 2024 / SB53 signed 2025,mined,"SB 1047 vetoed 29 Sep 2024 (gov.ca.gov); SB 53 Transparency in Frontier AI Act signed 29 Sep 2025 (leginfo)."
S26,Frontier Model Forum + AI Safety Fund,org_report,https://www.frontiermodelforum.org/ai-safety-fund/,FMF 2023 + AISF grant rounds,mined,"FMF founded Jul 2023; AI Safety Fund >$10M (=$12M) initiative; Round 1 $4M (Nov 2024, 12 recipients), Round 2 >$5.2M (Dec 2025, 11 recipients). Amounts from FMF Annual Report FY24-FY25."
S27,White House AI Executive Actions 2025,gov,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,Jan 2025 EO pivot,mined,"Rescinds Biden 2023 AI EO; 'Removing Barriers to American Leadership in AI' (23 Jan 2025) - federal shift from safety to dominance/deregulation."
S28,LTFF AI-safety funding overview (EA Forum),forum,https://forum.effectivealtruism.org/posts/XdhwXppfqrpPL2YDX/an-overview-of-the-ai-safety-funding-situation,LTFF 2023-2024 AI-safety slice,mined,"LTFF 2023 $6.67M total (~2/3 AI); plans ~$8M in 2024 → ~$5M AI safety. Used for LTFF 2024 grant_out estimate (flagged med)."
S29,FLI $25M grants program (2021),org_report,https://futureoflife.org/grantmaking/fli-announces-grants-program-for-existential-risk-reduction/,FLI 2021 Vitalik Buterin/SHIB $25M program,mined,"$25M multi-year xrisk program (Shiba Inu Grants + Vitalik Buterin PhD/postdoc fellowships in AI existential safety). FLI later liquidated ~$500M of the donation."
S30,Schmidt Sciences AI Safety Science,org_report,https://www.schmidtsciences.org/new-10-million-ai-safety-science-program-launched-for-foundational-research/,Schmidt Sciences $10M 2025,mined,"$10M to 27 projects (grants up to $500k) on LLM testing/evaluation science; announced Feb 2025."
S31,Manifund regranting reviews,org_report,https://manifund.substack.com/p/manifund-2023-in-review,Manifund 2023-2025 AI-safety regranting,mined,"2023 $1.57M to 27 technical AI-safety projects; 2024 ~$1.6M pool (Coefficient-funded); 2025 $2.25M for 10 regrantors (longtermwiki/EA Forum)."
S32,Longview Philanthropy (Frontier AI Fund),org_report,https://www.longview.org/careers/ai-grantmaker-generalist-or-us-ai-policy/,Longview AI-risk advisory + Frontier AI Fund,mined,"Private Frontier AI Fund ~$9M raised since ~Dec 2024; Longview advised >$120M toward AI risk since founding (advisory, not all direct)."
S33,Founders Pledge Global Catastrophic Risks Fund,org_report,https://www.founderspledge.com/funds/global-catastrophic-risks-fund,Founders Pledge GCR Fund AI grants,mined,"AI grants 2024: CEIP $300k + CNAS $156,770; 2025: CNAS $250k + Tarbell $100k. GCR Fund broader than AI (partial)."
S34,UK Frontier AI Taskforce / AISI (£100M),gov,https://www.gov.uk/government/news/initial-100-million-for-expert-taskforce-to-help-uk-build-and-adopt-next-generation-of-safe-ai,UK £100M taskforce 2023,mined,"£100M initial (24 Apr 2023) for Frontier AI Taskforce → AI Safety Institute; USD ref ~1.25."
S35,UK AISI Alignment Project,gov,https://www.gov.uk/government/news/openai-and-microsoft-join-uks-international-coalition-to-safeguard-ai-development,UK Alignment Project ~£27M 2025,mined,"AISI-led coalition fund ~£27M (grants up to £1M to 60+ projects), incl £5.6M from OpenAI + Microsoft/Schmidt/ARIA/CAISI. Coalition money (partial overlap)."
S36,ARIA Safeguarded AI,gov,https://aria.org.uk/opportunity-spaces/mathematics-for-safe-ai/safeguarded-ai/funding,ARIA £59M 2024-2027,mined,"£59M over four years (from mid-2024) for quantitative safety guarantees / formal verification / gatekeeper AI; USD ref ~1.25."
S37,NSF Safe Learning-Enabled Systems,gov,https://www.nsf.gov/funding/opportunities/safe-learning-enabled-systems/506150/nsf23-562/solicitation,NSF SLES $20M FY23-24,mined,"$20M total FY2023-2024 ($10M/yr); NSF + Open Philanthropy + Good Ventures; ~$5M from OpenPhil (flagged overlap)."
S38,US AI Safety Institute (NIST/CAISI),gov,https://fedscoop.com/new-tmf-investments-support-ai-safety-institute-upgrades-to-nuclear-emergency-response/,US AISI $10M FY2024,mined,"Up to $10M FY2024 appropriations to stand up USAISI (now CAISI) at NIST + ~$10M via Technology Modernization Fund; FY2026 raised to $55M."
S39,OpenAI Superalignment,org_report,https://openai.com/index/introducing-superalignment/,OpenAI 20% compute pledge 2023,mined,"Jul 2023: committed 20% of secured compute over 4 years to superalignment (no public $ figure; team dissolved May 2024). Recorded as statement, not money."
S40,OpenPhil itemized TAIS grants (longtermwiki),wiki,https://www.longtermwiki.com/wiki/E297,OpenPhil 2024 CAIS/Redwood/MIRI grants,mined,"OpenPhil 2024 largest TAIS grants: CAIS ~$1.5M, Redwood ~$1.2M, MIRI ~$1.1M. Itemized subset of the ~$28M 2024 total (flagged, not additive to donor totals)."
S41,EU AI Office GPAI safety tender,gov,https://digital-strategy.ec.europa.eu/en/funding/eu-ai-office-launches-eu9-million-tender-technical-support-gpai-safety,EU AI Office EUR9.08M 2025,mined,"€9.08M tender (Digital Europe Programme, Jul 2025) for GPAI systemic-risk evaluation, 6 lots. USD ref ~1.08."
S42,Effektiv Spenden Ensuring Safe AI,org,https://effektiv-spenden.org/en/blog/270-000-an-saferai-und-das-rand-meselsons-center/,Effektiv Spenden EUR170k SaferAI H1-2025,mined,"German-speaking retail AI-safety fund (launched Dec 2024); H1-2025 SaferAI €170,227 on Longview advice. USD ref ~1.08."
S43,Australia AI Safety Institute budget,news,https://aapnews.aap.com.au/news/ai-on-a-budget-aussie-watchdog-trails-global-peers,Australia AISI A$29.9M/4y,mined,"A$29.9M over four years (A$3.5M FY25-26), announced Nov 2025, commenced early 2026. USD ref ~0.66."
S44,Canadian AI Safety Institute (CAISI),gov,https://www.canada.ca/en/innovation-science-economic-development/news/2024/11/canada-launches-canadian-artificial-intelligence-safety-institute.html,Canada CAISI CAD$50M/5y,mined,"Initial budget CAD$50M over five years (Budget 2024; launched 12 Nov 2024); incl CAD$27M CIFAR research stream + NRC. USD ref ~0.73."
S45,DARPA GARD program,news,https://defensescoop.com/2024/03/27/darpa-transitions-tech-gard-program-cdao/,DARPA GARD $10M FY2024,mined,"$10M RDT&E requested FY2024 for defenses against adversarial-ML; wrapping up (no FY2025 request), tech transitioned to DoD CDAO."
S46,Macroscopic Ventures grants,org,https://macroscopic.org/grants,Macroscopic up-to-$100M/yr statement,mined,"Swiss nonprofit; stated plan up to $100M/yr; grantees Redwood/Apollo/Gray Swan/Halcyon + Anthropic equity. No confirmed disbursed total → statement."
