year,date,actor,actor_type,direction,event_type,scale,detail,source_url,source_type,confidence
2005,,FHI,research,macrostrategy,founded,,"Future of Humanity Institute founded (Oxford, Bostrom)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2010,,DeepMind,industry,capabilities,founded,,"DeepMind founded (Hassabis, Legg, Suleyman); Legg had won Canadian SIAI prize",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2011,,GCRI,research,macrostrategy,founded,,"Global Catastrophic Risk Institute founded (Seth Baum, Tony Barrett)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2013,Apr,MIRI,research,agent_foundations,pivot,,"MIRI shifts from public outreach to Friendly AI math research (Muehlhauser strategy update)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2013,Jul,CSER,governance,macrostrategy,founded,,"Centre for the Study of Existential Risk launches (Cambridge)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2013,Jul,FRI,research,macrostrategy,founded,,"Foundational Research Institute founded",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2013,Jul,EA,meta,field_building,statement,,"Muehlhauser 'Four Focus Areas of EA' places AI safety under long-term future",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,med
2014,Jan,DeepMind,industry,capabilities,grant_in,,"Google acquires DeepMind; sets up AI ethics board (Tallinn, Thiel influential)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2014,Mar,FLI,governance,macrostrategy,founded,,"Future of Life Institute founded (Tegmark, Tallinn, Aguirre, Chita-Tegmark)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2014,Jul,Bostrom,research,macrostrategy,publication,,"'Superintelligence' published - raises status of AI safety field",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2014,Aug,AI Impacts,research,forecasting,program_launch,,"AI Impacts launched (Christiano, Grace), funding via MIRI",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2014,Nov,MIRI,research,agent_foundations,program_launch,,"Intelligent Agent Foundations Forum launched by MIRI",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2014,,field,meta,mixed_technical,statement,1750000,"2014 field ~$1.75m, almost entirely FHI (macrostrategy) + MIRI (technical, little DL)",https://aiimpacts.org/changes-in-funding-in-the-ai-safety-field/,funding_analysis,high
2015,Jan,FLI,governance,macrostrategy,program_launch,,"Puerto Rico conference 'Future of AI'; Soares later calls it the turning point",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2015,Jan,FLI,governance,macrostrategy,publication,,"Open Letter 'Research Priorities for Robust and Beneficial AI' (Hawking, Musk, Russell)",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
2015,Jul,FLI,funder,mixed_technical,grant_out,10000000,"FLI first AI-safety grant round announced (~37 projects), funded by $10M Musk donation",https://timelines.issarice.com/wiki/Timeline_of_AI_safety,timeline,high
